state,year,age,stname,pmu,pru,pmuse,pruse,year0,mmlf,mmll,mml_1,mml0,mml1,mml2,treated,treatex,mmlwall,wall
"Alabama",2002,"12+y","Alabama",4.32,48.47,.4719388,1.709184,"2002-3","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Alabama",2002,"12-17y","Alabama",6.37,39.58,.8086734,1.862245,"2002-3","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Alabama",2002,"18-25y","Alabama",12.47,30.97,1.25,1.811224,"2002-3","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Alabama",2002,"26+y","Alabama",2.6,52.76,.5280612,2.091837,"2002-3","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Alabama",2003,"12+y","Alabama",4.71,51.08,.4693878,1.785714,"2003-4","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Alabama",2003,"12-17y","Alabama",6.43,40.79,.7831632,1.989796,"2003-4","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Alabama",2003,"18-25y","Alabama",13.79,32.6,1.30102,1.862245,"2003-4","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Alabama",2003,"26+y","Alabama",2.85,55.77,.4744898,2.244898,"2003-4","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Alabama",2004,"12+y","Alabama",4.9,49.93,.4744898,1.734694,"2004-5","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Alabama",2004,"12-17y","Alabama",6.72,39.62,.875,1.964286,"2004-5","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Alabama",2004,"18-25y","Alabama",13.95,35.06,1.377551,1.989796,"2004-5","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Alabama",2004,"26+y","Alabama",3.05,53.94,.4821429,2.168367,"2004-5","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Alabama",2005,"12+y","Alabama",4.76,49.05,.497449,1.683674,"2005-6","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Alabama",2005,"12-17y","Alabama",6.32,39.88,.8571429,1.989796,"2005-6","no","no",0,0,0,0,"no","no","Never MML","Never MML"
